"","event","channel","Label","t"
"1","EC",0,"E1",0.158965585244005
"2","EC",1,"E2",0.148255631454411
"3","EC",2,"E3",0.149032094153287
"4","EC",3,"E4",0.109965756473744
"5","EC",4,"E5",0.111450190786336
"6","EC",5,"E6",0.0883016266292217
"7","EC",6,"E7",0.0791131901028714
"8","EC",7,"E8",0.144317843336621
"9","EC",8,"E9",0.136948033950253
"10","EC",9,"E10",0.125409667905936
"11","EC",10,"E11",0.113459863672666
"12","EC",11,"E12",0.120914487648228
"13","EC",12,"E13",0.10049842517658
"14","EC",13,"E14",0.121327073754652
"15","EC",14,"E15",0.120286180526204
"16","EC",15,"E16",0.119619905220006
"17","EC",16,"E18",0.13047644154003
"18","EC",17,"E19",0.120711739477283
"19","EC",18,"E20",0.131562032051237
"20","EC",19,"E21",0.0912113207012797
"21","EC",20,"E22",0.127188407781412
"22","EC",21,"E23",0.133717391821074
"23","EC",22,"E24",0.12838143974714
"24","EC",23,"E25",0.118114651311522
"25","EC",24,"E26",0.129147758263535
"26","EC",25,"E27",0.127897912161875
"27","EC",26,"E28",0.132516889541686
"28","EC",27,"E29",0.116199618473164
"29","EC",28,"E30",0.0973112741741947
"30","EC",29,"E31",0.0882382496282677
"31","EC",30,"E32",0.0903156385812985
"32","EC",31,"E33",0.129507320207302
"33","EC",32,"E34",0.107390005785111
"34","EC",33,"E35",0.120766435509642
"35","EC",34,"E36",0.113015683208915
"36","EC",35,"E37",0.103912860082234
"37","EC",36,"E38",0.115331012035574
"38","EC",37,"E39",0.134371643577483
"39","EC",38,"E40",0.112956196739902
"40","EC",39,"E41",0.0969463273407103
"41","EC",40,"E42",0.104262309800838
"42","EC",41,"E44",0.0950766033272505
"43","EC",42,"E45",0.108040455322282
"44","EC",43,"E46",0.0888539878380776
"45","EC",44,"E47",0.0829756215600939
"46","EC",45,"E50",0.0805882447678966
"47","EC",46,"E51",0.0991941287285815
"48","EC",47,"E52",0.0889543557379891
"49","EC",48,"E53",0.0759791048955041
"50","EC",49,"E54",0.101459825085277
"51","EC",50,"E55",0.0932197152130908
"52","EC",51,"E57",0.0819532478570323
"53","EC",52,"E58",0.0868145877016806
"54","EC",53,"E59",0.080026441847254
"55","EC",54,"E60",0.0906220539504822
"56","EC",55,"E61",0.0811633955487355
"57","EC",56,"E62",0.101809381115116
"58","EC",57,"E64",0.0671987136931727
"59","EC",58,"E65",0.0828287705458146
"60","EC",59,"E66",0.0704063046132795
"61","EC",60,"E67",0.0792906826596416
"62","EC",61,"E69",0.0790049417005688
"63","EC",62,"E70",0.0696219784798623
"64","EC",63,"E71",0.0726072751628331
"65","EC",64,"E72",0.0855329324489494
"66","EC",65,"E74",0.0713581414048023
"67","EC",66,"E75",0.0859941984864512
"68","EC",67,"E76",0.096975946455411
"69","EC",68,"E77",0.0817147686627911
"70","EC",69,"E78",0.0979311023971093
"71","EC",70,"E79",0.100745794160961
"72","EC",71,"E80",0.0909330728923878
"73","EC",72,"E82",0.0992336890994526
"74","EC",73,"E83",0.0867334985525293
"75","EC",74,"E84",0.0744141484791402
"76","EC",75,"E85",0.0882397296969358
"77","EC",76,"E86",0.085860134839347
"78","EC",77,"E87",0.086863019504592
"79","EC",78,"E89",0.123073985955405
"80","EC",79,"E90",0.0738024344603451
"81","EC",80,"E91",0.0831111814684246
"82","EC",81,"E92",0.0969025296119928
"83","EC",82,"E93",0.0851088268624084
"84","EC",83,"E95",0.114465453853195
"85","EC",84,"E96",0.0793109061428108
"86","EC",85,"E97",0.0942899035741795
"87","EC",86,"E98",0.0981889928429484
"88","EC",87,"E100",0.0821315174577497
"89","EC",88,"E101",0.117091869299199
"90","EC",89,"E102",0.0973149202851091
