"","event","channel","Label","t"
"1","EC",0,"E1",0.1
"2","EC",1,"E2",0.14
"3","EC",2,"E3",0.08
"4","EC",3,"E4",0.02
"5","EC",4,"E5",0.03
"6","EC",5,"E6",0.03
"7","EC",6,"E7",0.05
"8","EC",7,"E8",0.11
"9","EC",8,"E9",0.08
"10","EC",9,"E10",0.03
"11","EC",10,"E11",0.02
"12","EC",11,"E12",0.02
"13","EC",12,"E13",0.03
"14","EC",13,"E14",0.12
"15","EC",14,"E15",0.09
"16","EC",15,"E16",0.1
"17","EC",16,"E18",0.14
"18","EC",17,"E19",0.1
"19","EC",18,"E20",0.09
"20","EC",19,"E21",0.05
"21","EC",20,"E22",0.12
"22","EC",21,"E23",0.11
"23","EC",22,"E24",0.12
"24","EC",23,"E25",0.11
"25","EC",24,"E26",0.12
"26","EC",25,"E27",0.11
"27","EC",26,"E28",0.12
"28","EC",27,"E29",0.15
"29","EC",28,"E30",0.12
"30","EC",29,"E31",0.06
"31","EC",30,"E32",0.08
"32","EC",31,"E33",0.13
"33","EC",32,"E34",0.08
"34","EC",33,"E35",0.08
"35","EC",34,"E36",0.12
"36","EC",35,"E37",0.0999999999999999
"37","EC",36,"E38",0.09
"38","EC",37,"E39",0.11
"39","EC",38,"E40",0.07
"40","EC",39,"E41",0.07
"41","EC",40,"E42",0.03
"42","EC",41,"E44",0.05
"43","EC",42,"E45",0.04
"44","EC",43,"E46",0.02
"45","EC",44,"E47",0.02
"46","EC",45,"E50",0.01
"47","EC",46,"E51",0.02
"48","EC",47,"E52",0.03
"49","EC",48,"E53",0.04
"50","EC",49,"E54",0.07
"51","EC",50,"E55",0.05
"52","EC",51,"E57",0.03
"53","EC",52,"E58",0.04
"54","EC",53,"E59",0.04
"55","EC",54,"E60",0.03
"56","EC",55,"E61",0.02
"57","EC",56,"E62",0.05
"58","EC",57,"E64",0.00999999999999999
"59","EC",58,"E65",0.02
"60","EC",59,"E66",0.00999999999999999
"61","EC",60,"E67",0.07
"62","EC",61,"E69",0.03
"63","EC",62,"E70",0.02
"64","EC",63,"E71",0.03
"65","EC",64,"E72",0.02
"66","EC",65,"E74",0.02
"67","EC",66,"E75",0.02
"68","EC",67,"E76",0.04
"69","EC",68,"E77",0.04
"70","EC",69,"E78",0.02
"71","EC",70,"E79",0.04
"72","EC",71,"E80",0.03
"73","EC",72,"E82",0.09
"74","EC",73,"E83",0.01
"75","EC",74,"E84",0.04
"76","EC",75,"E85",0.04
"77","EC",76,"E86",0.01
"78","EC",77,"E87",0.09
"79","EC",78,"E89",0.08
"80","EC",79,"E90",0.04
"81","EC",80,"E91",0.05
"82","EC",81,"E92",0.04
"83","EC",82,"E93",0.02
"84","EC",83,"E95",0.08
"85","EC",84,"E96",0.03
"86","EC",85,"E97",0.02
"87","EC",86,"E98",0.02
"88","EC",87,"E100",0.05
"89","EC",88,"E101",0.02
"90","EC",89,"E102",0.02
"91","EC",90,"E103",0.04
"92","EC",91,"E104",0.04
"93","EC",92,"E105",0.03
"94","EC",93,"E106",0.04
"95","EC",94,"E108",0.00999999999999999
"96","EC",95,"E109",0.03
"97","EC",96,"E110",0.06
"98","EC",97,"E111",0.04
"99","EC",98,"E112",0.04
"100","EC",99,"E114",0.05
"101","EC",100,"E115",0.07
"102","EC",101,"E116",0.06
"103","EC",102,"E117",0.06
"104","EC",103,"E118",0.02
"105","EC",104,"E121",0.11
"106","EC",105,"E122",0.08
"107","EC",106,"E123",0.14
"108","EC",107,"E124",0.11
"109","EC",108,"Cz",0.04
"110","EO",0,"E1",0.033112582781457
"111","EO",1,"E2",0.033112582781457
"112","EO",2,"E3",0.033112582781457
"113","EO",3,"E4",0.0397350993377484
"114","EO",4,"E5",0.0264900662251656
"115","EO",5,"E6",0.0264900662251656
"116","EO",6,"E7",0.0728476821192054
"117","EO",7,"E8",0.033112582781457
"118","EO",8,"E9",0.033112582781457
"119","EO",9,"E10",0.0198675496688742
"120","EO",10,"E11",0.0264900662251655
"121","EO",11,"E12",0.0397350993377484
"122","EO",12,"E13",0.0198675496688742
"123","EO",13,"E14",0.033112582781457
"124","EO",14,"E15",0.0264900662251656
"125","EO",15,"E16",0.0264900662251656
"126","EO",16,"E18",0.0463576158940397
"127","EO",17,"E19",0.0198675496688742
"128","EO",18,"E20",0.033112582781457
"129","EO",19,"E21",0.0132450331125828
"130","EO",20,"E22",0.033112582781457
"131","EO",21,"E23",0.0463576158940397
"132","EO",22,"E24",0.0264900662251656
"133","EO",23,"E25",0.033112582781457
"134","EO",24,"E26",0.033112582781457
"135","EO",25,"E27",0.0198675496688741
"136","EO",26,"E28",0.0198675496688742
"137","EO",27,"E29",0.033112582781457
