subject,event,event_n,channel,hemis,area,subarea,tauorg,tauimp,pernan
A1i7n,eyes_open,1,E1,Right,Frontalpole,Fp2,0.868262983,0.868262983,0.155963303
A1i7n,eyes_open,1,E2,Right,Frontalpole,Fp2,0.461278173,0.461278173,0.155963303
A1i7n,eyes_open,1,E3,Right,Frontal,F4,0.678227872,0.678227872,0.155963303
A1i7n,eyes_open,1,E4,Central,Frontal,Fz,,0.597625409,0.155963303
A1i7n,eyes_open,1,E5,Central,Frontal,Fz,1.291867822,1.291867822,0.155963303
A1i7n,eyes_open,1,E6,Central,Central,Cz,0.249203476,0.249203476,0.155963303
A1i7n,eyes_open,1,E7,Central,Central,Cz,0.400388581,0.400388581,0.155963303
A1i7n,eyes_open,1,E8,Right,Frontalpole,Fp2,0.550154164,0.550154164,0.155963303
A1i7n,eyes_open,1,E9,Right,Frontalpole,Fp2,0.503461656,0.503461656,0.155963303
A1i7n,eyes_open,1,E10,Central,Frontal,Fz,6.04994E-05,6.04994E-05,0.155963303
A1i7n,eyes_open,1,E11,Central,Frontal,Fz,0.638161375,0.638161375,0.155963303
A1i7n,eyes_open,1,E12,Central,Frontal,Fz,0.315041155,0.315041155,0.155963303
A1i7n,eyes_open,1,E13,Central,Central,Cz,0.365132002,0.365132002,0.155963303
A1i7n,eyes_open,1,E14,Central,Frontalpole,Fpz,0.501279077,0.501279077,0.155963303
A1i7n,eyes_open,1,E15,Central,Frontalpole,Fpz,0.55595717,0.55595717,0.155963303
A1i7n,eyes_open,1,E16,Central,Frontal,Fz,0.621219242,0.621219242,0.155963303
A1i7n,eyes_open,1,E18,Central,Frontal,Fz,0.697415903,0.697415903,0.155963303
A1i7n,eyes_open,1,E19,Central,Frontal,Fz,0.619611868,0.619611868,0.155963303
A1i7n,eyes_open,1,E20,Left,Frontal,F3,6.87381E-05,6.87381E-05,0.155963303
A1i7n,eyes_open,1,E21,Central,Frontalpole,Fpz,0.220433531,0.220433531,0.155963303
A1i7n,eyes_open,1,E22,Left,Frontalpole,Fp1,0.611792048,0.611792048,0.155963303
A1i7n,eyes_open,1,E23,Left,Frontal,F3,0.569649527,0.569649527,0.155963303
A1i7n,eyes_open,1,E24,Left,Frontal,F3,0.578679437,0.578679437,0.155963303
A1i7n,eyes_open,1,E25,Left,Frontalpole,Fp1,0.355004299,0.355004299,0.155963303
A1i7n,eyes_open,1,E26,Left,Frontalpole,Fp1,0.739414616,0.739414616,0.155963303
A1i7n,eyes_open,1,E27,Left,Frontal,F3,0.471532164,0.471532164,0.155963303
A1i7n,eyes_open,1,E28,Left,Frontal,F3,0.450093417,0.450093417,0.155963303
A1i7n,eyes_open,1,E29,Left,Central,C3,0.527817304,0.527817304,0.155963303
A1i7n,eyes_open,1,E30,Central,Central,Cz,0.284426641,0.284426641,0.155963303
A1i7n,eyes_open,1,E31,Central,Central,Cz,0.488843737,0.488843737,0.155963303
A1i7n,eyes_open,1,E32,Left,Frontalpole,Fp1,0.326639906,0.326639906,0.155963303
A1i7n,eyes_open,1,E33,Left,Frontal,F7,0.78234558,0.78234558,0.155963303
A1i7n,eyes_open,1,E34,Left,Frontal,F7,2.188727118,2.188727118,0.155963303
A1i7n,eyes_open,1,E35,Left,Central,C3,0.386225079,0.386225079,0.155963303
A1i7n,eyes_open,1,E36,Left,Central,C3,0.464523016,0.464523016,0.155963303
A1i7n,eyes_open,1,E37,Central,Central,Cz,,0.638852117,0.155963303
A1i7n,eyes_open,1,E38,Left,Temporal,TL,0.694276161,0.694276161,0.155963303
A1i7n,eyes_open,1,E39,Left,Temporal,TL,0.648738477,0.648738477,0.155963303
A1i7n,eyes_open,1,E40,Left,Temporal,TL,1.004456314,1.004456314,0.155963303
A1i7n,eyes_open,1,E41,Left,Central,C7,1.403445331,1.403445331,0.155963303
A1i7n,eyes_open,1,E42,Left,Central,C3,,0.4595218,0.155963303
A1i7n,eyes_open,1,E44,Left,Temporal,TL,,0.746717508,0.155963303
A1i7n,eyes_open,1,E45,Left,Temporal,TL,0.966290896,0.966290896,0.155963303
A1i7n,eyes_open,1,E46,Left,Temporal,TL,1.163246064,1.163246064,0.155963303
A1i7n,eyes_open,1,E47,Left,Central,C7,,1.403445331,0.155963303
A1i7n,eyes_open,1,E50,Left,Temporal,TL,0.500887873,0.500887873,0.155963303
A1i7n,eyes_open,1,E51,Left,Parietal,P7,0.508216452,0.508216452,0.155963303
A1i7n,eyes_open,1,E52,Left,Parietal,P3,0.844724926,0.844724926,0.155963303
A1i7n,eyes_open,1,E53,Left,Parietal,P3,0.318652973,0.318652973,0.155963303
A1i7n,eyes_open,1,E54,Central,Central,Cz,0.289032994,0.289032994,0.155963303
A1i7n,eyes_open,1,E55,Central,Central,Cz,0.77158061,0.77158061,0.155963303
A1i7n,eyes_open,1,E57,Left,Temporal,TL,0.249126773,0.249126773,0.155963303
A1i7n,eyes_open,1,E58,Left,Parietal,P7,1.18287E-05,1.18287E-05,0.155963303
A1i7n,eyes_open,1,E59,Left,Parietal,P7,0.264582305,0.264582305,0.155963303
A1i7n,eyes_open,1,E60,Left,Parietal,P3,3.3379E-05,3.3379E-05,0.155963303
A1i7n,eyes_open,1,E61,Central,Parietal,Pz,0.392707502,0.392707502,0.155963303
A1i7n,eyes_open,1,E62,Central,Parietal,Pz,,0.432926153,0.155963303
A1i7n,eyes_open,1,E64,Left,Parietal,P7,0.203801318,0.203801318,0.155963303
A1i7n,eyes_open,1,E65,Left,Parietal,P7,0.466703612,0.466703612,0.155963303
A1i7n,eyes_open,1,E66,Left,Occipital,O1,2.94077E-05,2.94077E-05,0.155963303
A1i7n,eyes_open,1,E67,Central,Parietal,Pz,,0.432926153,0.155963303
A1i7n,eyes_open,1,E69,Left,Occipital,O1,0.245714485,0.245714485,0.155963303
A1i7n,eyes_open,1,E70,Left,Occipital,O1,0.282673557,0.282673557,0.155963303
A1i7n,eyes_open,1,E71,Central,Occipital,Oz,,0.308293562,0.155963303
A1i7n,eyes_open,1,E72,Central,Parietal,Pz,0.473144804,0.473144804,0.155963303
A1i7n,eyes_open,1,E74,Left,Occipital,O1,0.646765476,0.646765476,0.155963303
A1i7n,eyes_open,1,E75,Central,Occipital,Oz,0.241389444,0.241389444,0.155963303
A1i7n,eyes_open,1,E76,Central,Occipital,Oz,0.375197679,0.375197679,0.155963303
A1i7n,eyes_open,1,E77,Central,Parietal,Pz,,0.432926153,0.155963303
A1i7n,eyes_open,1,E78,Central,Parietal,Pz,,0.432926153,0.155963303
A1i7n,eyes_open,1,E79,Central,Central,Cz,,0.638852117,0.155963303
A1i7n,eyes_open,1,E80,Central,Central,Cz,0.698913497,0.698913497,0.155963303
A1i7n,eyes_open,1,E82,Right,Occipital,O2,0.458875413,0.458875413,0.155963303
A1i7n,eyes_open,1,E83,Right,Occipital,O2,0.208347562,0.208347562,0.155963303
A1i7n,eyes_open,1,E84,Right,Occipital,O3,4.73626E-05,4.73626E-05,0.155963303
A1i7n,eyes_open,1,E85,Right,Parietal,P4,,0.430465964,0.155963303
A1i7n,eyes_open,1,E86,Right,Parietal,P4,,0.430465964,0.155963303
A1i7n,eyes_open,1,E87,Central,Central,Cz,2.132366247,2.132366247,0.155963303
A1i7n,eyes_open,1,E89,Right,Occipital,O2,0.082461237,0.082461237,0.155963303
A1i7n,eyes_open,1,E90,Right,Parietal,P8,0.396218098,0.396218098,0.155963303
A1i7n,eyes_open,1,E91,Right,Parietal,P8,1.798132604,1.798132604,0.155963303
A1i7n,eyes_open,1,E92,Right,Parietal,P4,,0.430465964,0.155963303
A1i7n,eyes_open,1,E93,Right,Central,C4,,0.519795341,0.155963303
A1i7n,eyes_open,1,E95,Right,Parietal,P8,0.095685168,0.095685168,0.155963303
A1i7n,eyes_open,1,E96,Right,Parietal,P8,0.386915558,0.386915558,0.155963303
A1i7n,eyes_open,1,E97,Right,Parietal,P8,0.307458928,0.307458928,0.155963303
A1i7n,eyes_open,1,E98,Right,Central,C8,0.520431537,0.520431537,0.155963303
A1i7n,eyes_open,1,E100,Right,Temporal,TR,0.559977135,0.559977135,0.155963303
A1i7n,eyes_open,1,E101,Right,Temporal,TR,0.207607241,0.207607241,0.155963303
A1i7n,eyes_open,1,E102,Right,Temporal,TR,0.172442663,0.172442663,0.155963303
A1i7n,eyes_open,1,E103,Right,Central,C8,0.191693944,0.191693944,0.155963303
